INCP Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
West Wallsend - Barnsley - Killingworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamstown - Kotara,0,0,0,4,3,0,3,7,9,6,4,3,0,0,39,1329.487179,1329,"$1,250-$1,499 ($65,000-$77,999)"
Beresfield - Hexham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton - Broadmeadow,0,0,0,0,0,0,0,0,3,11,7,5,0,5,31,2141.129032,2141,"$2,000-$2,999 ($104,000-$155,999)"
Lambton - New Lambton,0,0,0,0,0,0,0,0,7,7,5,9,0,0,28,1799.107143,1799,"$1,750-$1,999 ($91,000-$103,999)"
Maryland - Fletcher - Minmi,0,0,0,0,0,4,3,3,4,4,11,6,0,0,35,1706.428571,1706,"$1,500-$1,749 ($78,000-$90,999)"
Mayfield - Warabrook,0,0,0,0,3,6,0,0,4,9,3,11,0,0,36,1509.027778,1509,"$1,500-$1,749 ($78,000-$90,999)"
Merewether - The Junction,0,0,0,0,0,6,3,6,0,8,3,7,3,7,43,1899.418605,1899,"$1,750-$1,999 ($91,000-$103,999)"
Newcastle - Cooks Hill,0,3,0,0,0,0,6,6,9,6,11,6,0,4,51,1719.607843,1719,"$1,500-$1,749 ($78,000-$90,999)"
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortland - Jesmond,0,0,0,5,5,0,6,0,6,9,9,3,0,0,43,1430.813953,1430,"$1,250-$1,499 ($65,000-$77,999)"
Stockton - Fullerton Cove,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Wallsend - Elermore Vale,0,0,0,0,7,3,6,0,0,7,6,12,3,0,44,1596.022727,1596,"$1,500-$1,749 ($78,000-$90,999)"
Waratah - North Lambton,0,0,0,7,3,0,6,5,0,3,8,0,0,0,32,1274.21875,1274,"$1,250-$1,499 ($65,000-$77,999)"
Wickham - Carrington - Tighes Hill,0,0,3,0,0,6,0,4,4,6,4,11,3,0,41,1598.170732,1598,"$1,500-$1,749 ($78,000-$90,999)"
Ballina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballina Surrounds,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,1589.285714,1589,"$1,500-$1,749 ($78,000-$90,999)"
Bangalow,0,0,0,6,4,4,0,3,0,3,3,0,0,0,23,1028.26087,1028,"$1,000-$1,249 ($52,000-$64,999)"
Brunswick Heads - Ocean Shores,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,1589.285714,1589,"$1,500-$1,749 ($78,000-$90,999)"
Byron Bay,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,1500,1500,"$1,500-$1,749 ($78,000-$90,999)"
Evans Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lennox Head - Skennars Head,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Mullumbimby,0,0,0,0,0,0,3,0,0,0,0,6,0,0,9,1550,1550,"$1,500-$1,749 ($78,000-$90,999)"
Casino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casino Surrounds,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,450,450,"$400-$499 ($20,800-$25,999)"
Goonellabah,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3250,3250,"$3,000-$3,499 ($156,000-$181,999)"
Kyogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lismore,0,0,0,0,3,0,0,0,0,5,0,7,0,0,15,1531.666667,1531,"$1,500-$1,749 ($78,000-$90,999)"
Lismore Surrounds,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,1210.714286,1210,"$1,000-$1,249 ($52,000-$64,999)"
Kingscliff - Fingal Head,0,0,0,0,0,0,0,5,0,0,0,3,0,0,8,1406.25,1406,"$1,250-$1,499 ($65,000-$77,999)"
Murwillumbah,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,900,900,"$800-$999 ($41,600-$51,999)"
Murwillumbah Surrounds,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,812.5,812,"$800-$999 ($41,600-$51,999)"
Pottsville,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Tweed Heads,0,0,0,0,4,4,0,5,0,0,0,7,0,0,20,1197.5,1197,"$1,000-$1,249 ($52,000-$64,999)"
Banora Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terranora - North Tumbulgum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tweed Heads South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffith (NSW),0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Griffith Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narrandera,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Tumbarumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumut Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cootamundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gundagai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagga Wagga - East,0,0,0,0,0,4,0,0,3,0,6,3,0,0,16,1728.125,1728,"$1,500-$1,749 ($78,000-$90,999)"
