INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Eden,0,0,0,0,0,5,0,9,0,9,0,0,0,0,23,1233.695652,1233,"$1,000-$1,249 ($52,000-$64,999)"
Eurobodalla Hinterland,0,0,0,0,3,7,11,6,10,8,3,9,0,6,63,1517.063492,1517,"$1,500-$1,749 ($78,000-$90,999)"
Merimbula - Tura Beach,3,0,4,0,10,11,20,46,29,39,36,48,13,38,297,1830.30303,1830,"$1,750-$1,999 ($91,000-$103,999)"
Moruya - Tuross Head,0,0,0,0,9,9,11,25,22,24,21,13,7,17,158,1760.126582,1760,"$1,750-$1,999 ($91,000-$103,999)"
Narooma - Bermagui,0,0,3,0,6,10,20,22,14,16,7,15,3,11,127,1524.606299,1524,"$1,500-$1,749 ($78,000-$90,999)"
Goulburn,0,0,3,3,10,18,41,73,80,85,77,91,16,32,529,1730.57656,1730,"$1,500-$1,749 ($78,000-$90,999)"
Goulburn Surrounds,0,0,0,3,9,16,7,27,26,36,24,29,7,11,195,1665,1665,"$1,500-$1,749 ($78,000-$90,999)"
Yass,0,0,0,0,5,0,5,19,14,17,18,13,6,8,105,1833.333333,1833,"$1,750-$1,999 ($91,000-$103,999)"
Yass Surrounds,0,0,0,4,5,9,11,23,31,26,19,27,4,14,173,1687.716763,1687,"$1,500-$1,749 ($78,000-$90,999)"
Young,0,0,0,5,13,8,15,16,20,22,17,26,3,11,156,1601.121795,1601,"$1,500-$1,749 ($78,000-$90,999)"
Young Surrounds,0,0,0,0,5,12,9,10,13,12,10,13,0,7,91,1562.362637,1562,"$1,500-$1,749 ($78,000-$90,999)"
